2023-07-17 00:04:34.697 | mainraceId | DEBUG | 9188 | main | org.mybatis.logging.Logger.debug(Logger.java:49) : Creating MapperFactoryBean with name 'chinesePoetryMapper' and 'com.shubao.dao.ChinesePoetryMapper' mapperInterface
2023-07-17 00:04:34.698 | mainraceId | DEBUG | 9188 | main | org.mybatis.logging.Logger.debug(Logger.java:49) : Creating MapperFactoryBean with name 'studyMapper' and 'com.shubao.dao.StudyMapper' mapperInterface
2023-07-17 00:04:34.806 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
2023-07-17 00:04:34.861 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2023-07-17 00:04:34.863 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2023-07-17 00:04:34.865 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2023-07-17 00:04:34.866 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
2023-07-17 00:04:34.870 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2023-07-17 00:04:34.876 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2023-07-17 00:04:34.884 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
2023-07-17 00:04:34.886 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
2023-07-17 00:04:34.887 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinderFactory'
2023-07-17 00:04:34.893 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2023-07-17 00:04:34.940 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
2023-07-17 00:04:34.948 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.ConstructorResolver.createArgumentArray(ConstructorResolver.java:808) : Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
2023-07-17 00:04:34.953 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
2023-07-17 00:04:34.955 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
2023-07-17 00:04:34.957 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'projectingArgumentResolverBeanPostProcessor'
2023-07-17 00:04:34.959 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
2023-07-17 00:04:34.960 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration'
2023-07-17 00:04:34.983 | mainraceId | DEBUG | 9188 | main | org.springframework.aop.aspectj.annotation.ReflectiveAspectJAdvisorFactory.getAdvice(ReflectiveAspectJAdvisorFactory.java:258) : Found AspectJ method: public void com.shubao.http.BookpackageLogAspect.doBefore(org.aspectj.lang.JoinPoint)
2023-07-17 00:04:34.985 | mainraceId | DEBUG | 9188 | main | org.springframework.aop.aspectj.annotation.ReflectiveAspectJAdvisorFactory.getAdvice(ReflectiveAspectJAdvisorFactory.java:258) : Found AspectJ method: public void com.shubao.http.BookpackageLogAspect.doLog(org.aspectj.lang.JoinPoint,java.lang.Object)
2023-07-17 00:04:35.101 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'transactionAttributeSource'
2023-07-17 00:04:35.117 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'transactionInterceptor'
2023-07-17 00:04:35.118 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.ConstructorResolver.createArgumentArray(ConstructorResolver.java:808) : Autowiring by type from bean name 'transactionInterceptor' via factory method to bean named 'transactionAttributeSource'
2023-07-17 00:04:35.233 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.ConstructorResolver.createArgumentArray(ConstructorResolver.java:808) : Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionAttributeSource'
2023-07-17 00:04:35.234 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.ConstructorResolver.createArgumentArray(ConstructorResolver.java:808) : Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionInterceptor'
2023-07-17 00:04:35.274 | mainraceId | DEBUG | 9188 | main | org.springframework.ui.context.support.UiApplicationContextUtils.initThemeSource(UiApplicationContextUtils.java:85) : Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@42f33b5d]
2023-07-17 00:04:35.275 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'tomcatServletWebServerFactory'
2023-07-17 00:04:35.276 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryConfiguration$EmbeddedTomcat'
2023-07-17 00:04:35.348 | mainraceId | DEBUG | 9188 | main | org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:225) : Creating shared instance of singleton bean 'websocketServletWebServerCustomizer'
